,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lr,params_momentum,params_optimiser2,state
78,78,0.91470749043193,2023-05-29 00:33:34.972234,2023-05-29 02:25:28.519314,0 days 01:51:53.547080,16,0.7135813995717865,0.6327530358098101,adadelta,COMPLETE
79,79,0.9059595407326407,2023-05-29 00:34:38.638206,2023-05-29 02:26:45.076887,0 days 01:52:06.438681,32,0.7358913596882497,0.632708034688028,adadelta,COMPLETE
80,80,0.9070530344450519,2023-05-29 00:36:59.801222,2023-05-29 02:17:51.040352,0 days 01:40:51.239130,16,0.7717503238626058,0.6332656579812959,adadelta,COMPLETE
81,81,0.9054127938764353,2023-05-29 00:40:02.899270,2023-05-29 02:03:11.562335,0 days 01:23:08.663065,16,0.7533277552695882,0.6324335821381243,adadelta,COMPLETE
82,82,0.9032258064516129,2023-05-29 01:13:49.554207,2023-05-29 02:45:10.460925,0 days 01:31:20.906718,16,0.74208933880845,0.6125136641963788,adadelta,COMPLETE
83,83,0.9065062875888463,2023-05-29 01:38:48.538194,2023-05-29 03:07:52.300285,0 days 01:29:03.762091,16,0.7552388001830814,0.6375505421623769,adadelta,COMPLETE
84,84,0.9103335155822854,2023-05-29 01:46:16.099057,2023-05-29 03:21:14.333275,0 days 01:34:58.234218,16,0.7912759566462455,0.6338795911310076,adadelta,COMPLETE
85,85,0.910880262438491,2023-05-29 01:48:06.953033,2023-05-29 03:24:46.041597,0 days 01:36:39.088564,32,0.7672408082482566,0.6117537866214134,adadelta,COMPLETE
86,86,0.9086932750136687,2023-05-29 02:02:37.259229,2023-05-29 03:48:40.901551,0 days 01:46:03.642322,32,0.7539405089725552,0.6124931106169779,adadelta,COMPLETE
87,87,0.910880262438491,2023-05-29 02:03:11.582210,2023-05-29 03:40:25.172202,0 days 01:37:13.589992,32,0.7642791860852495,0.6084515184774727,adadelta,COMPLETE
88,88,0.9141607435757244,2023-05-29 02:04:40.635794,2023-05-29 03:44:30.902715,0 days 01:39:50.266921,32,0.602773944101994,0.6135034368022014,adadelta,COMPLETE
89,89,0.910880262438491,2023-05-29 02:17:51.053621,2023-05-29 04:01:57.395400,0 days 01:44:06.341779,32,0.805068576537287,0.6116840159703217,adadelta,COMPLETE
90,90,0.9125205030071077,2023-05-29 02:25:28.532643,2023-05-29 04:11:24.237187,0 days 01:45:55.704544,32,0.6020886143131079,0.6146831560691295,adadelta,COMPLETE
91,91,0.9136139967195188,2023-05-29 02:26:45.083929,2023-05-29 04:04:24.020748,0 days 01:37:38.936819,16,0.5999459431554856,0.6081044475109127,adadelta,COMPLETE
92,92,0.9037725533078185,2023-05-29 02:45:10.508550,2023-05-29 04:11:43.941258,0 days 01:26:33.432708,16,0.6711826299188797,0.6143474073366343,adadelta,COMPLETE
93,93,0.9097867687260798,2023-05-29 03:07:52.308292,2023-05-29 04:28:11.644334,0 days 01:20:19.336042,16,0.6076788684190564,0.6106748802458151,adadelta,COMPLETE
94,94,0.9081465281574631,2023-05-29 03:21:14.401472,2023-05-29 04:49:23.308093,0 days 01:28:08.906621,32,0.6708202097810022,0.6138594044149516,adadelta,COMPLETE
95,95,0.9125205030071077,2023-05-29 03:24:46.053716,2023-05-29 04:47:02.528872,0 days 01:22:16.475156,32,0.6719185752469434,0.613173705424736,adadelta,COMPLETE
96,96,0.9075997813012575,2023-05-29 03:40:25.260231,2023-05-29 04:54:28.807055,0 days 01:14:03.546824,32,0.6004962651893232,0.6440911645199517,adadelta,COMPLETE
97,97,0.9070530344450519,2023-05-29 03:44:30.910944,2023-05-29 04:56:18.882769,0 days 01:11:47.971825,32,0.6002849616557726,0.6461928947442491,adadelta,COMPLETE
98,98,0.8988518316019682,2023-05-29 03:48:40.906110,2023-05-29 04:59:29.266835,0 days 01:10:48.360725,32,0.6776399199047781,0.660934424044941,adadelta,COMPLETE
99,99,0.9075997813012575,2023-05-29 04:01:57.399875,2023-05-29 05:01:11.755755,0 days 00:59:14.355880,32,0.5878874092440983,0.6438503756313918,adadelta,COMPLETE
